type,price,loc,kamar_tidur,luas_tanah,luas_bangunan,sertifikasi
Rumah Second,Rp7 M,"Ciracas, Kota Jakarta Timur",6 KT,LT 604m²,LB 302m²,SHM
Rumah Second,Rp775 Jt,"Pasar Rebo, Kota Jakarta Timur",2 KT,LT 49m²,LB 60m²,SHM
Rumah Second,Rp795 Jt,"Ciracas, Kota Jakarta Timur",3 KT,LT 65m²,LB 60m²,SHM
Rumah Second,Rp2 M,"Duren Sawit, Kota Jakarta Timur",3 KT,LT 100m²,LB 155m²,SHM
Rumah Second,Rp14 M,"Cilandak, Kota Jakarta Selatan",6 KT,LT 477m²,LB 477m²,SHM
Rumah Second,Rp800 Jt,"Ciracas, Kota Jakarta Timur",2 KT,LT 51m²,LB 60m²,SHM
Rumah Second,"Rp16,5 M","Pasar Minggu, Kota Jakarta Selatan",4 KT,LT 997m²,LB 500m²,
Rumah Second,"Rp1,5 M","Cipayung, Kota Jakarta Timur",2 KT,LT 50m²,LB 68m²,SHM
Rumah Second,"Rp1,5 M","Cipayung, Kota Jakarta Timur",2 KT,LT 50m²,LB 68m²,SHM
Rumah Second,"Rp1,5 M","Cipayung, Kota Jakarta Timur",2 KT,LT 50m²,LB 68m²,SHM
Rumah Second,Rp38 M,"Mampang Prapatan, Kota Jakarta Selatan",6 KT,LT 780m²,LB 750m²,
Rumah Second,"Rp1,3 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 120m²,LB 150m²,SHM
Rumah Second,"Rp1,3 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 108m²,LB 80m²,SHM
Rumah Second,Rp9 M,"Kebon Jeruk, Kota Jakarta Barat",4 KT,LT 319m²,LB 500m²,SHM
Rumah Second,"Rp1,2 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 77m²,LB 130m²,SHM
Rumah Second,Rp52 M,"Mampang Prapatan, Kota Jakarta Selatan",6 KT,LT 865m²,LB 365m²,SHM
Rumah Second,Rp5 M,"Cilandak, Kota Jakarta Selatan",4 KT,LT 107m²,LB 220m²,SHM
Rumah Second,Rp950 Jt,"Jagakarsa, Kota Jakarta Selatan",2 KT,LT 87m²,LB 50m²,SHM
Rumah Second,Rp950 Jt,"Cipayung, Kota Jakarta Timur",3 KT,LT 64m²,LB 90m²,SHM
Rumah Second,Rp2 M,"Jagakarsa, Kota Jakarta Selatan",3 KT,LT 74m²,LB 170m²,SHM
Rumah Second,"Rp12,9 M","Pasar Minggu, Kota Jakarta Selatan",3 KT,LT 404m²,LB 350m²,SHM
Rumah Second,"Rp16,5 M","Cilandak, Kota Jakarta Selatan",6 KT,LT 329m²,LB 677m²,SHM
Rumah Second,Rp10 M,"Cilandak, Kota Jakarta Selatan",4 KT,LT 307m²,LB 300m²,SHM
Rumah Second,Rp400 Jt,"Cipayung, Kota Jakarta Timur",2 KT,LT 43m²,LB 43m²,SHM
Rumah Second,"Rp1,5 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 63m²,LB 120m²,SHM
Rumah Second,Rp400 Jt,"Cipayung, Kota Jakarta Timur",2 KT,LT 43m²,LB 43m²,SHM
Rumah Second,"Rp1,9 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 40m²,LB 85m²,SHM
Rumah Second,"Rp3,9 M","Kramatjati (Kramat Jati), Kota Jakarta Timur",1 KT,LT 560m²,LB 300m²,SHM
Rumah Second,Rp450 Jt,"Tanjung Priok, Kota Jakarta Utara",2 KT,LT 21m²,LB 41m²,SHM
Rumah Second,Rp70 M,"Kebayoran Lama, Kota Jakarta Selatan",5 KT,LT 810m²,LB 750m²,SHM
Rumah Second,"Rp2,1 M","Jagakarsa, Kota Jakarta Selatan",5 KT,LT 165m²,LB 230m²,SHM
Rumah Second,"Rp1,6 M","Duren Sawit, Kota Jakarta Timur",3 KT,LT 135m²,LB 91m²,SHM
Rumah Second,Rp400 Jt,"Makasar, Kota Jakarta Timur",4 KT,LT 70m²,LB 70m²,Strata
Rumah Second,"Rp497,8 Jt","Kemayoran, Kota Jakarta Pusat",2 KT,LT 22m²,LB 43m²,SHM
Rumah Second,Rp2 M,"Kebayoran Lama, Kota Jakarta Selatan",3 KT,LT 140m²,LB 160m²,SHM
Rumah Second,"Rp1,4 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 59m²,LB 130m²,SHM
Rumah Second,"Rp2,6 M","Duren Sawit, Kota Jakarta Timur",4 KT,LT 116m²,LB 200m²,SHM
Rumah Second,"Rp3,2 M","Duren Sawit, Kota Jakarta Timur",3 KT,LT 223m²,LB 120m²,SHM
Rumah Second,"Rp12,5 M","Mampang Prapatan, Kota Jakarta Selatan",4 KT,LT 766m²,LB 500m²,SHM
Rumah Second,"Rp2,7 M","Duren Sawit, Kota Jakarta Timur",4 KT,LT 160m²,LB 250m²,SHM
Rumah Second,"Rp3,7 M","Tebet, Kota Jakarta Selatan",3 KT,LT 237m²,LB 320m²,SHM
Rumah Second,"Rp2,1 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 101m²,LB 160m²,SHM
Rumah Second,Rp35 M,"Kebayoran Baru, Kota Jakarta Selatan",4 KT,LT 633m²,LB 840m²,SHM
Rumah Second,Rp970 Jt,"Tambora, Kota Jakarta Barat",2 KT,LT 52m²,LB 104m²,SHM
Rumah Second,Rp35 M,"Kebayoran Lama, Kota Jakarta Selatan",5 KT,LT 406m²,LB 650m²,SHM
Rumah Second,"Rp7,5 M","Jagakarsa, Kota Jakarta Selatan",4 KT,LT 200m²,LB 345m²,SHM
Rumah Second,"Rp2,1 M","Tambora, Kota Jakarta Barat",3 KT,LT 90m²,LB 160m²,SHM
Rumah Second,"Rp1,8 M","Pasar Rebo, Kota Jakarta Timur",3 KT,LT 172m²,LB 200m²,SHM
Rumah Second,"Rp2,2 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 72m²,LB 185m²,SHM
Rumah Second,Rp21 M,"Cilandak, Kota Jakarta Selatan",6 KT,LT 680m²,LB 500m²,SHM
Rumah Second,"Rp16,5 M","Kebayoran Lama, Kota Jakarta Selatan",4 KT,LT 210m²,LB 500m²,SHM
Rumah Second,"Rp1,4 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 63m²,LB 90m²,SHM
Rumah Second,"Rp7,5 M","Duren Sawit, Kota Jakarta Timur",6 KT,LT 481m²,LB 290m²,SHM
Rumah Second,Rp800 Jt,"Matraman, Kota Jakarta Timur",4 KT,LT 60m²,LB 120m²,SHM
Rumah Second,"Rp6,8 M","Duren Sawit, Kota Jakarta Timur",5 KT,LT 308m²,LB 567m²,SHM
Rumah Second,Rp75 M,"Kebayoran Baru, Kota Jakarta Selatan",4 KT,LT 675m²,LB 1000m²,SHM
Rumah Second,Rp6 M,"Pasar Minggu, Kota Jakarta Selatan",3 KT,LT 417m²,LB 500m²,SHM
Rumah Second,"Rp11,7 M","Tanah Abang, Kota Jakarta Pusat",6 KT,LT 190m²,LB 214m²,SHM
Rumah Second,Rp53 M,"Kebayoran Baru, Kota Jakarta Selatan",4 KT,LT 667m²,LB 800m²,SHM
Rumah Second,"Rp7,6 M","Cilandak, Kota Jakarta Selatan",4 KT,LT 170m²,LB 295m²,SHM
